SARS-CoV-2 RNA Levels in Wastewater for Sewershed 636 Treatment plant in Illinois
Date generated: Sun Apr 10 2022 14:16:01 GMT-0500 (Central Daylight Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2021-12-06,N/A
2021-12-07,N/A
2021-12-08,N/A
2021-12-09,N/A
2021-12-10,N/A
2021-12-11,N/A
2021-12-12,N/A
2021-12-13,N/A
2021-12-14,N/A
2021-12-15,N/A
2021-12-16,N/A
2021-12-17,N/A
2021-12-18,N/A
2021-12-19,N/A
2021-12-20,N/A
2021-12-21,N/A
2021-12-22,N/A
2021-12-23,N/A
2021-12-24,N/A
2021-12-25,N/A
2021-12-26,N/A
2021-12-27,N/A
2021-12-28,N/A
2021-12-29,N/A
2021-12-30,N/A
2021-12-31,N/A
2022-01-01,N/A
2022-01-02,N/A
2022-01-03,N/A
2022-01-04,N/A
2022-01-05,N/A
2022-01-06,N/A
2022-01-07,N/A
2022-01-08,N/A
2022-01-09,N/A
2022-01-10,N/A
2022-01-11,N/A
2022-01-12,N/A
2022-01-13,N/A
2022-01-14,N/A
2022-01-15,N/A
2022-01-16,N/A
2022-01-17,N/A
2022-01-18,N/A
2022-01-19,N/A
2022-01-20,N/A
2022-01-21,N/A
2022-01-22,N/A
2022-01-23,N/A
2022-01-24,N/A
2022-01-25,N/A
2022-01-26,N/A
2022-01-27,N/A
2022-01-28,N/A
2022-01-29,N/A
2022-01-30,N/A
2022-01-31,N/A
2022-02-01,N/A
2022-02-02,N/A
2022-02-03,N/A
2022-02-04,N/A
2022-02-05,N/A
2022-02-06,N/A
2022-02-07,N/A
2022-02-08,N/A
2022-02-09,N/A
2022-02-10,N/A
2022-02-11,N/A
2022-02-12,N/A
2022-02-13,N/A
2022-02-14,N/A
2022-02-15,14347855.027
2022-02-16,14506696.953
2022-02-17,14665630.272
2022-02-18,14824871.38
2022-02-19,14984636.675
2022-02-20,15145142.554
2022-02-21,15306605.415
2022-02-22,15457238.83
2022-02-23,15551099.188
2022-02-24,15585656.52
2022-02-25,15572234.973
2022-02-26,15522158.695
2022-02-27,15446751.832
2022-02-28,15350157.117
2022-03-01,15207791.622
2022-03-02,14999703.149
2022-03-03,14753188.065
2022-03-04,14507354.88
2022-03-05,14301312.106
2022-03-06,14174168.252
2022-03-07,14156758.753
2022-03-08,14246826.743
2022-03-09,14420707.468
2022-03-10,14602196.924
2022-03-11,14701956.295
2022-03-12,14630646.764
2022-03-13,14298929.515
2022-03-14,13653747.918
2022-03-15,12787174.085
2022-03-16,11815739.872
2022-03-17,10808687.375
2022-03-18,9823436.25
2022-03-19,8917406.152
2022-03-20,8148016.736
2022-03-21,7561486.325
2022-03-22,7159227.91
2022-03-23,6933389.253
2022-03-24,6883862.532
2022-03-25,7012476.025
2022-03-26,7321058.015
2022-03-27,7811436.781
2022-03-28,8478611.506
2022-03-29,9290264.987
2022-03-30,10210032.006
2022-03-31,11212671.674
2022-04-01,12275724.186
2022-04-02,13376729.734
2022-04-03,14493228.513
2022-04-04,15607090.455
2022-04-05,16717504.445
2022-04-06,N/A
