wwtp_id,reporting_jurisdiction,key_plot_id,population_served,first_sample_date
675,Chicago,NWSS_il_675_Before treatment plant_17_raw wastewater,215718,2021-11-22
635,Chicago,NWSS_il_635_Before treatment plant_16_raw wastewater,70645,2021-11-22
596,Illinois,CDC_il_596_Treatment plant_raw wastewater,160735,2022-01-20
636,Illinois,NWSS_il_636_Treatment plant_raw wastewater,110394,2022-01-09
635,Chicago,NWSS_il_635_Before treatment plant_22_raw wastewater,3590,2021-11-22
632,Illinois,NWSS_il_632_Treatment plant_raw wastewater,270647,2022-01-09
675,Chicago,NWSS_il_675_Before treatment plant_21_raw wastewater,54458,2021-11-23
682,Illinois,CDC_il_682_Treatment plant_raw wastewater,264000,2022-01-24
637,Illinois,NWSS_il_637_Treatment plant_raw wastewater,13098,2022-01-10
635,Illinois,NWSS_il_635_Treatment plant_raw wastewater,1134897,2022-01-09
982,Illinois,NWSS_il_982_Treatment plant_raw wastewater,1263110,2022-01-09
595,Illinois,CDC_il_595_Treatment plant_raw wastewater,264000,2022-01-20
674,Chicago,NWSS_il_674_Before treatment plant_18_raw wastewater,52306,2021-11-23
683,Illinois,CDC_il_683_Treatment plant_raw wastewater,160735,2022-01-24
674,Chicago,NWSS_il_674_Before treatment plant_20_raw wastewater,91964,2021-11-23
638,Illinois,NWSS_il_638_Treatment plant_raw wastewater,1127736,2022-01-09
675,Chicago,NWSS_il_675_Before treatment plant_19_raw wastewater,203376,2021-11-22
639,Illinois,NWSS_il_639_Treatment plant_raw wastewater,1127736,2022-01-09
641,Illinois,NWSS_il_641_Treatment plant_raw wastewater,217106,2022-01-09
